ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,Sport,Medal
1721,Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,EGY,2016 Summer,2016,Summer,Swimming,NA
1721,Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,EGY,2016 Summer,2016,Summer,Swimming,NA
1729,Youssef Akrout,M,25,180,78,Tunisia,TUN,2016 Summer,2016,Summer,Sailing,NA
1730,Monica Aksamit,F,26,183,74,United States,USA,2016 Summer,2016,Summer,Fencing,Bronze
1746,Sonia Aktar,F,19,NA,NA,Bangladesh,BAN,2016 Summer,2016,Summer,Swimming,NA
1749,Shirin Akter,F,21,159,50,Bangladesh,BAN,2016 Summer,2016,Summer,Athletics,NA
1763,Hussein Al-Aameri,M,25,177,80,Iraq,IRQ,2016 Summer,2016,Summer,Judo,NA
1773,Ahmad Al-Afasi,M,33,NA,NA,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Shooting,NA
1780,Mazoon Khalfan Saleh Al-Alawi,F,18,182,NA,Oman,OMA,2016 Summer,2016,Summer,Athletics,NA
1787,Tariq Ahmed Al-Amri,M,25,165,49,Saudi Arabia,KSA,2016 Summer,2016,Summer,Athletics,NA
1788,Atallah Al-Anazi,M,28,174,74,Saudi Arabia,KSA,2016 Summer,2016,Summer,Shooting,NA
