date,mean temperature,co2 (ppm)
12/6/1948,-0.23,
11/6/1948,-0.08,
10/6/1948,-0.07,
9/6/1948,-0.1,
8/6/1948,-0.1,
7/6/1948,-0.13,
6/6/1948,-0.05,
5/6/1948,0.08,
4/6/1948,-0.09,
3/6/1948,-0.23,
2/6/1948,-0.13,
1/6/1948,0.05,
12/6/1947,-0.18,
11/6/1947,-0.01,
10/6/1947,0.06,
9/6/1947,-0.14,
8/6/1947,-0.08,
7/6/1947,-0.06,
6/6/1947,0,
5/6/1947,-0.06,
4/6/1947,0.04,
3/6/1947,0.05,
2/6/1947,-0.08,
1/6/1947,-0.13,
12/6/1946,-0.29,
11/6/1946,-0.02,
10/6/1946,-0.06,
9/6/1946,-0.02,
8/6/1946,-0.08,
7/6/1946,-0.09,
6/6/1946,-0.17,
5/6/1946,-0.04,
4/6/1946,0.11,
3/6/1946,0,
2/6/1946,0.06,
1/6/1946,0.15,
12/6/1945,-0.1,
11/6/1945,0.1,
10/6/1945,0.22,
9/6/1945,0.22,
8/6/1945,0.25,
7/6/1945,0.07,
6/6/1945,0.02,
5/6/1945,0.1,
4/6/1945,0.24,
3/6/1945,0.11,
2/6/1945,0.02,
1/6/1945,0.13,
12/6/1944,0.05,
11/6/1944,0.12,
10/6/1944,0.27,
9/6/1944,0.31,
8/6/1944,0.23,
7/6/1944,0.23,
6/6/1944,0.22,
5/6/1944,0.26,
4/6/1944,0.27,
3/6/1944,0.34,
2/6/1944,0.31,
1/6/1944,0.41,
12/6/1943,0.28,
11/6/1943,0.25,
10/6/1943,0.3,
9/6/1943,0.11,
8/6/1943,0.03,
7/6/1943,0.14,
6/6/1943,-0.01,
5/6/1943,0.1,
4/6/1943,0.13,
3/6/1943,0.01,
2/6/1943,0.22,
1/6/1943,-0.01,
12/6/1942,0.12,
11/6/1942,0.13,
10/6/1942,0.06,
9/6/1942,0,
8/6/1942,-0.03,
7/6/1942,0.02,
6/6/1942,0.11,
5/6/1942,0.14,
4/6/1942,0.14,
3/6/1942,0.13,
2/6/1942,0.05,
1/6/1942,0.26,
12/6/1941,0.14,
11/6/1941,0.12,
10/6/1941,0.24,
9/6/1941,0.02,
8/6/1941,0.14,
7/6/1941,0.15,
6/6/1941,0.04,
5/6/1941,0.1,
4/6/1941,0.11,
3/6/1941,0.06,
2/6/1941,0.23,
1/6/1941,0.13,
12/6/1940,0.19,
11/6/1940,0.13,
10/6/1940,0.07,
9/6/1940,0.12,
8/6/1940,0.01,
7/6/1940,0.1,
6/6/1940,0.05,
5/6/1940,0.05,
4/6/1940,0.16,
3/6/1940,0.12,
2/6/1940,0.06,
1/6/1940,-0.15,
12/6/1939,0.4,
11/6/1939,0.06,
10/6/1939,-0.03,
9/6/1939,0,
8/6/1939,-0.05,
7/6/1939,-0.06,
6/6/1939,-0.08,
5/6/1939,-0.07,
4/6/1939,-0.12,
3/6/1939,-0.2,
2/6/1939,-0.12,
1/6/1939,-0.13,
12/6/1938,-0.26,
11/6/1938,0.01,
10/6/1938,0.11,
9/6/1938,0.03,
8/6/1938,-0.04,
7/6/1938,-0.09,
6/6/1938,-0.17,
5/6/1938,-0.07,
4/6/1938,0.05,
3/6/1938,0.05,
2/6/1938,-0.04,
1/6/1938,0,
12/6/1937,-0.12,
11/6/1937,0.09,
